
 ***************    Thu Nov 26 17:08:27 2020     *************** 

 Ll    Ln    Lr      a1         a2        a3         a4    
2.500 7.000 5.000 11.562724 -17.437087 10.062913 -9.375448

     E_end            at              ab             Delta            Ln2         time     theta delta    res       verts    it 
2.112075987e-06 -1.169325094e-05 1.181471073e-05 1.249624121e-01 2.797994324e+01       432 0.250 0.010        128       4714  66
1.300368818e-05 -1.037296039e-04 1.043961512e-04 1.248721057e-01 2.236685078e+01       760 0.250 0.020        128       4714  57
4.111554957e-05 -2.455553059e-04 2.477471407e-04 1.247229256e-01 1.817924611e+01      1014 0.250 0.030        128       4714  51
9.516929717e-05 -4.330052230e-04 4.386437818e-04 1.245186648e-01 1.511052090e+01       978 0.250 0.040        128       4714  41
1.838918505e-04 -6.680544145e-04 6.802646229e-04 1.242659280e-01 1.277345625e+01      1455 0.250 0.050        128       4714  40
3.159786471e-04 -9.535210277e-04 9.770485687e-04 1.239604194e-01 1.096032367e+01      2468 0.250 0.060        128       4714  42
5.000833087e-04 -1.291087891e-03 1.332671780e-03 1.236064776e-01 9.538282687e+00      5341 0.250 0.070        128       4714  41
7.448228360e-04 -1.681261065e-03 1.750056695e-03 1.232015442e-01 8.409224837e+00       569 0.250 0.080        128       4714  40 
1.058782494e-03 -2.123978145e-03 2.231887116e-03 1.227466046e-01 7.499535533e+00       525 0.250 0.090        128       4714  38
1.450517415e-03 -2.618770288e-03 2.780872563e-03 1.222420128e-01 6.755342436e+00       223 0.250 0.100        128       4714  37
1.928553074e-03 -3.164938144e-03 3.399759220e-03 1.216880545e-01 6.137647672e+00       252 0.250 0.110        128       4714  36
2.501385841e-03 -3.761433949e-03 4.091426856e-03 1.210853054e-01 5.618100118e+00       246 0.250 0.120        128       4714  33
3.177483527e-03 -4.407040479e-03 4.858846275e-03 1.204340203e-01 5.175900316e+00       277 0.250 0.130        128       4714  30
3.965285531e-03 -5.100236388e-03 5.705089369e-03 1.197349387e-01 4.795522406e+00       226 0.250 0.140        128       4714  29
4.873202137e-03 -5.839312881e-03 6.633335386e-03 1.189886209e-01 4.465229657e+00       196 0.250 0.150        128       4714  30
7.082861172e-03 -7.447189502e-03 8.749118511e-03 1.173569795e-01 3.920786528e+00       221 0.250 0.170        128       4714  30
1.150643738e-02 -1.014853165e-02 1.262384477e-02 1.145730107e-01 3.309099765e+00       218 0.250 0.200        128       4714  29


 ***************    Thu Nov 26 22:12:13 2020     *************** 

 Ll    Ln    Lr      a1         a2        a3         a4    
2.500 7.000 5.000 11.562724 -17.437087 10.062913 -9.375448

     E_end            at              ab             Delta            Ln2          time    theta delta    res       verts    it 
